Habitat	Blocos	ses_PD_all	ses_PD_ang	FD_LAp	FD_SLAp	FD_LDMCp	CWM_LA	CWM_SLA	CWM_LDMC
Forest	EN1	-0.427399939	0.615029433	0.016421087	0.22471393	0.171858862	13.32780538	122.9434834	408.6021304
Forest	EN2	-0.746057143	-0.694072676	0.016223379	0.152111835	0.171899415	13.57610007	118.9879363	425.3263715
Forest	HE1	-1.002600113	-0.40511433	0.009368416	0.180144764	0.132778404	7.735085351	96.00391129	418.0868732
Forest	HE2	-1.151814615	-0.593198993	0.009585167	0.113507608	0.117468407	7.203304802	86.52445481	429.560348
Forest	PA1	0.349843984	0.879582958	0.013920936	0.130058848	0.158648022	8.664827902	94.92563255	403.3193532
Forest	PA2	-1.631728766	-2.273602375	0.010760315	0.084117296	0.139179125	4.465438706	94.02595262	421.6626197
Forest	PM1	1.351022534	1.310539963	0.023231089	0.134479479	0.194886268	12.71985931	91.24562338	403.9369175
Forest	PM2	0.850964235	1.085738499	0.013691113	0.143836798	0.185776016	9.797551197	83.7833921	416.6401025
Forest	SF1	-0.394114728	1.084833087	0.045367946	0.195891124	0.166248395	20.80650214	134.1498866	414.0090085
Forest	SF2	0.436485817	0.988927105	0.021796246	0.199498424	0.153317869	10.87182773	155.1648783	411.0490713
Forest	SL1	-0.316722134	0.668419067	0.008889064	0.061879541	0.135338172	7.302249484	92.29254959	437.7995135
Forest	SL2	-0.36170835	0.460013395	0.006875623	0.056739589	0.118702364	6.131262197	90.78711222	429.2124929
Forest	ST1	-1.843571564	-1.881763562	0.013047202	0.127945562	0.095818669	9.731307697	149.1617388	405.5096605
Forest	ST2	-0.420768017	0.591762992	0.015605908	0.142128075	0.11914492	10.18808437	155.9375234	399.8896662
Forest	SV1	1.244468426	-0.15941783	0.011503641	0.240858798	0.178559022	6.273950229	119.3994654	412.760825
Forest	SV2	-0.162207736	-0.609164676	0.007516088	0.17790098	0.100966691	6.397205086	133.5421513	425.517293
Forest	TA1	2.031673715	-0.820821863	0.014073649	0.136020861	0.14782778	6.021632214	91.26260306	412.722123
Forest	TA2	1.320861232	-1.619519775	0.012528085	0.122293695	0.121799119	6.636415316	91.48095874	416.722715
Grassland	EN1	-0.351351208	0.292886743	0.077648555	0.071488428	0.085665521	6.521235458	75.67364331	423.5581812
Grassland	EN2	1.646886827	0.07673871	0.072955796	0.141504499	0.075820982	4.173000403	74.17020401	428.5373884
Grassland	HE1	-0.59496582	0.339826267	0.098037151	0.102053422	0.112040298	5.321655786	76.63152825	427.7210714
Grassland	HE2	-0.941796231	-0.286020044	0.074688698	0.074692994	0.091865864	5.485381048	70.93220526	439.7600702
Grassland	PA1	-1.728788308	-2.014464332	0.054608704	0.020671478	0.009130353	1.402487827	89.954799	432.7906024
Grassland	PA2	0.400775812	-0.307532449	0.094628633	0.080319381	0.053912015	2.866565558	83.40293962	432.5446979
Grassland	PM1	0.433152709	0.339259995	0.158938601	0.06206338	0.041256795	8.220683266	77.25860752	449.7672823
Grassland	PM2	-0.859648112	-0.585718637	0.203190811	0.061335594	0.055329293	13.41834679	79.23705675	438.8721281
Grassland	SF1	-0.023999795	1.160466456	0.171924962	0.13460605	0.118744176	11.85445879	118.2635331	372.3872434
Grassland	SF2	0.28991853	-0.656830759	0.132789055	0.076420603	0.093926159	7.322923028	96.53347937	423.9975282
Grassland	SL1	-0.092409798	1.028786066	0.075922024	0.084197513	0.06549344	5.702303077	79.75449378	454.4134875
Grassland	SL2	-2.046454226	-2.503008257	0.030803045	0.048171246	0.02954022	3.505192467	81.85460994	449.4376985
Grassland	ST1	-1.126682286	-0.94266771	0.0653646	0.238974161	0.049974597	1.916950056	141.3643431	487.0040073
Grassland	ST2	-1.093454602	-1.069405512	0.04713131	0.152220322	0.047188217	1.115572186	158.7360158	492.4968369
Grassland	SV1	-0.107864033	0.657697819	0.101974348	0.221282709	0.133561585	5.003470225	109.8962225	425.5120757
Grassland	SV2	0.777070215	0.011362079	0.06900325	0.158868543	0.091176199	4.972315166	96.89256114	450.7096452
Grassland	TA1	2.278201403	1.139025706	0.113081462	0.084736758	0.066724651	4.481109885	65.80418929	429.5463404
Grassland	TA2	1.917227978	-0.772816461	0.081698424	0.042081439	0.049272679	3.253929691	52.93101196	435.0860527
