Habitat	Species	LA	SLA	LDMC
Generalist_F	Acca_sellowiana	18.85412667	101.184088	406.0054768
Generalist_G	Acca_sellowiana	10.58894389	66.59915818	452.2254864
Forest	Achatocarpus_praecox	11.57264	170.7043277	335.6272254
Forest	Actinostemon_concolor	11.84226667	108.9194335	447.5778879
Generalist_F	Allophylus_edulis	5.821209235	140.0441723	411.5347936
Generalist_G	Allophylus_edulis	3.497355886	119.9147904	409.8687422
Grassland	Aloysia_gratissima	11.3329	109.3976662	348.3650682
Forest	Annona_neosalicifolia	24.09747333	209.5876212	357.094119
Generalist_F	Araucaria_angustifolia	1.362454527	62.69959321	374.2507259
Generalist_G	Araucaria_angustifolia	1.287110438	48.42003437	420.3975231
Grassland	Baccharis_uncinella	0.233227576	92.14787023	430.2266864
Forest	Banara_tomentosa	19.55865568	206.510089	332.2186561
Generalist_F	Blepharocalyx_salicifolius	3.532023939	99.73351917	438.1506059
Generalist_G	Blepharocalyx_salicifolius	3.298048565	89.53574758	464.045756
Forest	Campomanesia_xanthocarpa	18.00713472	115.5186598	449.6928265
Forest	Casearia_decandra	7.207012032	158.1599276	363.8754261
Forest	Casearia_sylvestris 	15.40515894	135.8056699	477.3269916
Grassland	Celtis_brasiliensis	15.83448333	110.8199756	370.6017006
Generalist_F	Chrysophyllum_marginatum	6.008672963	113.8195523	391.3523884
Generalist_G	Chrysophyllum_marginatum	4.80541303	90.52784931	416.537396
Generalist_F	Citharexylum_montevidense	18.8888025	68.62658802	419.0300157
Generalist_G	Citharexylum_montevidense	12.60397318	62.20027655	457.5818789
Generalist_F	Coccoloba_cordata	14.0681	177.349	319.405
Generalist_G	Coccoloba_cordata	6.625013333	134.2664525	365.4688612
Forest	Cordia_americana	8.699366667	154.7881352	409.7477181
Grassland	Daphnopsis_racemosa	8.557154902	79.14165015	359.631795
Forest	Diospyros_inconstans	12.51952167	121.5186378	387.8074933
Forest	Drimys_angustifolia	9.414594259	121.9330015	313.2253361
Generalist_F	Erythroxylum_deciduum	13.4740	161.12	290.733
Generalist_G	Erythroxylum_deciduum	5.735	48.463	458.0645161
Generalist_F	Eugenia_uniflora	6.538957143	140.4626684	413.7797884
Generalist_G	Eugenia_uniflora	5.643494537	94.92906518	459.2232987
Generalist_F	Eugenia_uruguayensis	9.14930463	79.85524755	410.1721443
Generalist_G	Eugenia_uruguayensis	7.527368333	57.7181584	422.2811255
Grassland	Eupatorium_buniifolium	0.360673333	79.15210039	340.9162283
Generalist_F	Gochnatia_polymorpha	9.626055455	94.51315311	412.2502875
Generalist_G	Gochnatia_polymorpha	7.5478325	73.74544169	463.3583153
Forest	Ilex_microdonta	8.455948763	97.5281394	415.4824808
Forest	Lamanonia_ternata	14.04890815	129.5555251	379.8229895
Forest	Laplacea_acutifolia	9.633101667	113.3731947	348.5709064
Generalist_F	Lithraea_brasiliensis	6.23033735	77.31423138	433.5055036
Generalist_G	Lithraea_brasiliensis	6.454081818	63.61779975	437.637522
Generalist_F	Lithraea_molleoides	4.219459495	87.50833048	417.5545508
Generalist_G	Lithraea_molleoides	3.060531667	80.89920271	448.7107025
Grassland	Miconia_hyemalis	14.70587111	73.53914757	443.3199944
Generalist_F	Myrceugenia_alpigena	8.37101	151.3926893	309.8734994
Generalist_G	Myrceugenia_alpigena	5.412502121	60.6347447	476.271581
Generalist_F	Myrceugenia_euosma	5.219580926	59.79011588	453.0775534
Generalist_G	Myrceugenia_euosma	1.760564198	85.29036595	447.3528468
Generalist_F	Myrceugenia_glaucescens	6.028458889	111.0438719	421.8515313
Generalist_G	Myrceugenia_glaucescens	3.756181667	46.01608869	442.9260611
Forest	Myrceugenia_mesomischa	16.96946077	118.7496066	388.7507751
Forest	Myrceugenia_miersiana	25.13095333	115.5039992	320.7842465
Forest	Myrcia_guianensis	4.07815	90.88812124	374.7911794
